date,temp,humidity,wind,cloud,rain,fog_observed,castle_visible,note,fog_probability,castle_probability,fog_score,castle_score,dew_point,dew_spread,event,updated_at,castle_event_probability
2015-11-22,8.875,86.25,9.85,99.0,0.0,0,0,,0.922,0.574,48.9,40.3,6.7,2.17,Castle,2025-11-10T11:56:23.983511+09:00,
2015-11-23,11.375,92.5,12.675,70.75,0.0,0,0,,0.631,0.851,60.9,60.9,10.2,1.17,Castle,2025-11-10T11:56:38.819342+09:00,0.0103232620907606
2017-09-08,20.4,91.75,11.2,67.75,1.6249999999999998,0,0,,0.042,0.77,50.2,50.2,19.01,1.39,,2025-11-06T12:13:55.539774+09:00,0.0185327396073173
2017-09-09,18.225,89.25,3.5250000000000004,6.75,0.0,1,1,,0.998,0.365,58.2,38.2,16.43,1.8,FogOnly,2025-11-06T12:14:02.750397+09:00,0.8620104625314666
2017-09-28,18.200000000000003,95.0,6.925000000000001,100.0,5.975,0,0,,0.595,0.622,55.2,47.2,17.39,0.81,FogOnly,2025-11-06T12:12:28.797382+09:00,0.005102086947447
2017-09-29,13.275,81.25,6.175000000000001,28.25,0.0,1,1,,0.874,0.36,37.3,21.0,10.13,3.15,FogOnly,2025-11-06T12:12:36.208926+09:00,0.8980241287162156
2017-12-06,0.7,90.0,5.199999999999999,47.5,0.3,0,0,,0.094,0.876,56.1,56.1,-0.75,1.45,,2025-11-06T12:08:03.659742+09:00,0.0220376686725078
2017-12-07,2.25,93.0,7.15,70.0,0.2,1,1,,0.247,0.877,61.8,61.8,1.23,1.02,,2025-11-06T12:08:10.062947+09:00,0.8956525078988073
2017-12-20,-0.925,87.0,6.725,29.0,0.0,0,0,,0.876,0.774,52.3,45.7,-2.82,1.89,Castle,2025-11-06T12:06:18.711292+09:00,0.0821398931786393
2017-12-21,0.75,97.0,1.825,45.75,0.075,0,0,,0.062,0.658,91.3,91.3,0.33,0.42,,2025-11-06T12:06:26.049514+09:00,0.0262470344263044
2018-01-13,-2.025,85.0,10.375,88.25,0.275,0,0,,0.098,0.823,47.4,45.9,-4.21,2.18,,2025-11-06T12:03:45.626369+09:00,0.0163003267652349
2018-01-14,-1.95,77.75,4.950000000000001,44.5,0.0,1,1,,0.994,0.93,34.6,23.7,-5.32,3.37,Castle,2025-11-06T12:03:51.996212+09:00,0.9777292078691096
2018-01-18,4.3,96.0,3.575,80.75,0.0,0,0,,0.468,0.624,72.3,72.3,3.72,0.58,,2025-11-06T12:02:49.335910+09:00,0.0304008207434604
2018-01-19,1.7999999999999998,81.5,5.75,51.75,0.0,1,1,,0.383,0.939,41.0,34.4,-1.03,2.83,,2025-11-06T12:02:55.970360+09:00,0.947201443886604
2018-02-19,-1.125,83.5,6.800000000000001,99.25,0.0,0,0,,0.797,0.815,45.7,34.8,-3.56,2.44,Castle,2025-11-06T12:01:25.364338+09:00,0.0239775318278451
2018-02-20,0.4,87.0,5.025,50.0,0.0,1,1,,0.825,0.934,52.1,52.1,-1.51,1.91,Castle,2025-11-06T12:01:29.687572+09:00,0.9730793786195444
2018-02-24,0.0249999999999999,72.0,10.075,31.5,0.0,0,0,,0.448,0.811,21.6,0.0,-4.42,4.45,,2025-11-06T12:00:29.211685+09:00,0.0327938032286725
2018-02-25,-0.65,64.5,3.875,91.0,0.0,1,1,,0.647,0.926,16.2,0.0,-6.52,5.87,FogOnly,2025-11-06T12:00:35.072618+09:00,0.953730847867725
